name,offset,total_size,type_size,type,description,access,array_size,bit_offset,bits,default,flag,invalid,max,min
user_reg,0,256,1,uint8_t,Writable registers for user testing,3,256,,,,,,,
sys.sn,256,12,1,uint8_t,Unique ID of the device,0,12,,,,DEVICE_SPECIFIC,,,
sys.fw_rev,268,4,1,uint8_t,Firmware revision,0,4,,,,,0,,
sys.if_rev,272,4,1,uint8_t,Interface revision,0,4,,,,,,,
sys.tick,276,,8,uint64_t,Tick in ms,0,,,,,,,,
sys.build_time.second,284,,1,uint8_t,The seconds in decimal,0,,,,,DEVICE_SPECIFIC,,,
sys.build_time.minute,285,,1,uint8_t,The minutes in decimal,0,,,,,DEVICE_SPECIFIC,,,
sys.build_time.hour,286,,1,uint8_t,The hours in decimal,0,,,,,DEVICE_SPECIFIC,,,
sys.build_time.day_of_month,287,,1,uint8_t,The months in decimal,0,,,,,DEVICE_SPECIFIC,,,
sys.build_time.day_of_week,288,,1,uint8_t,The week in decimal,0,,,,,DEVICE_SPECIFIC,,,
sys.build_time.month,289,,1,uint8_t,The month in decimal,0,,,,,DEVICE_SPECIFIC,,,
sys.build_time.year,290,,1,uint8_t,The last two digits of the year in decimal (20xx),0,,,,,DEVICE_SPECIFIC,,,
sys.build_time.res,291,1,1,uint8_t,Reserved bytes,0,1,,,,,,,
sys.device_num,292,,4,uint32_t,A constant number that should always be the same,0,,,,17061,,,,
sys.sys_clk,296,,4,uint32_t,The frequency of the system clock,0,,,,,,,,
sys.status,300,,1,sys_status_t,Status of system,0,,,,,,,,
sys.status.update,300,,1,,Update available execute needed,0,,0,1,,,,,
sys.mode,301,,1,sys_mode_t,Control register for device,1,,,,,,,,
sys.mode.init,301,,1,,initialize with new params,1,,0,1,,,,,
sys.mode.dut_rst,301,,1,,resets the DUT,1,,1,1,,,,,
sys.res,302,18,1,uint8_t,Reserved bytes,0,18,,,,,,,
i2c.mode,320,,1,i2c_mode_t,Specific modes for I2C,1,,,,,,,,
i2c.mode.init,320,,1,,initialize with new params,1,,0,1,,,,,
i2c.mode.disable,320,,1,,disable i2c functionality,1,,1,1,,,,,
i2c.mode.addr_10_bit,320,,1,,10 bit address enable,1,,2,1,,,,,
i2c.mode.general_call,320,,1,,General call enable,1,,3,1,,,,,
i2c.mode.no_clk_stretch,320,,1,,Disable for clk stretch,1,,4,1,,,,,
i2c.mode.reg_16_bit,320,,1,,16 bit register access mode,1,,5,1,,,,,
i2c.mode.reg_16_big_endian,320,,1,,sets the endianess of the 16 bit reg,1,,6,1,,,,,
i2c.mode.nack_data,320,,1,,Forces a data nack,1,,7,1,,,,,
i2c.status,321,,1,i2c_status_t,Specific modes for I2C,0,,,,,,,,
i2c.status.ovr,321,,1,,Overrun/Underrun: Request for new byte when not ready,1,,0,1,,,,,
i2c.status.af,321,,1,,Acknowledge failure,1,,1,1,,,,,
i2c.status.berr,321,,1,,Bus error:  Non-valid position during a byte transfer,1,,2,1,,,,,
i2c.status.gencall,321,,1,,General call address received,1,,3,1,,,,,
i2c.status.busy,321,,1,,i2c bus is BUSY,1,,4,1,,,,,
i2c.status.rsr,321,,1,,Repeated start detected,1,,5,1,,,,,
i2c.clk_stretch_delay,322,,2,uint16_t,Delay in us for clock stretch,1,,,,,,,,
i2c.slave_addr_1,324,,2,uint16_t,Primary slave address,1,,,,85,,125,124,8
i2c.slave_addr_2,326,,2,uint16_t,Secondary slave address,1,,,,66,,126,124,8
i2c.state,328,,2,uint16_t,Current state of the i2c bus,0,,,,,,,,
i2c.reg_index,330,,2,uint16_t,current index of i2c pointer,0,,,,,,,,
i2c.start_reg_index,332,,2,uint16_t,start index of i2c pointer,0,,,,,,,,
i2c.r_count,334,,1,uint8_t,Last read frame byte count,1,,,,,,,,
i2c.w_count,335,,1,uint8_t,Last write frame byte count,1,,,,,,,,
i2c.r_ticks,336,,4,uint32_t,Ticks for read byte,0,,,,,,,,
i2c.w_ticks,340,,4,uint32_t,Ticks for write byte,0,,,,,,,,
i2c.s_ticks,344,,4,uint32_t,Ticks for start and address,0,,,,,,,,
i2c.f_r_ticks,348,,4,uint32_t,Ticks for full read frame,0,,,,,,,,
i2c.f_w_ticks,352,,4,uint32_t,Ticks for full write frame,0,,,,,,,,
i2c.res,356,28,1,uint8_t,Reserved bytes,0,28,,,,,,,
spi.mode,384,,1,spi_mode_t,Specific spi modes,1,,,,,,,,
spi.mode.init,384,,1,,initialize with new params,1,,0,1,,,,,
spi.mode.disable,384,,1,,disable spi functionality,1,,1,1,,,,,
spi.mode.cpha,384,,1,,Clock phase,1,,2,1,,,,,
spi.mode.cpol,384,,1,,Clock polarity,1,,3,1,,,,,
spi.mode.if_type,384,,1,,spi interface type,1,,4,2,,,,,
spi.mode.reg_16_bit,384,,1,,16 bit register access mode,1,,6,1,,,,,
spi.mode.reg_16_big_endian,384,,1,,sets the endianess of the 16 bit reg,1,,7,1,,,,,
spi.status,385,,1,spi_status_t,Spi status register,0,,,,,,,,
spi.status.bsy,385,,1,,Busy flag,1,,0,1,,,,,
spi.status.ovr,385,,1,,Overrun flag,1,,1,1,,,,,
spi.status.modf,385,,1,,Mode fault,1,,2,1,,,,,
spi.status.udr,385,,1,,Underrun flag,1,,3,1,,,,,
spi.status.clk,385,,1,,Clock active/inactive,1,,4,1,,,,,
spi.status.start_clk,385,,1,,Clk reading when cs pin starts spi frame,1,,5,1,,,,,
spi.status.end_clk,385,,1,,Clk reading when cs pin ends frame,1,,6,1,,,,,
spi.status.index_err,385,,1,,Register index error,1,,7,1,,,,,
spi.state,386,,2,uint16_t,Current state of the i2c bus,0,,,,,,,,
